agent,date,activite,utilise_emballage,quantite_par_jour,objectifs,preference_type,frequence_livraison,caracteristique_1,caracteristique_2,budget_mensuel,mode_approvisionnement,materiaux,taille_emballage,nb_compartiments,fenetre_transparente,contenance_1comp,contenance_2comp,contenance_3comp,contenance_4comp,echantillon_prefere,intention_achat,prix_centaine_actuel,achat_meme_plus_cher,contraintes_legales,autres_criteres,commentaires,suggestions,tranche_prix,segment
AG-CAL-001,2024-11-18,"Akassa+Monyo, Côme+ Monyo, Riz",Oui,1-10,Experience Client,Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments",Oui,700ML,700ML,Autres,Autres,Option 4,Oui,2500.0,Non,Non,Fermeture hermétique,Non,Aucune,<2500,C - Petit client
AG-CAL-001,2024-11-18,"Riz gras, pâte rouge",Oui,10-30,Experience Client,Jetable,Mensuellement,Facilité d'ouverture,Résistance à la chaleur,7000.0,Distribution locale,"Plastique, Bioplastiques",Grand et surtout creux,1 seul compartiment,Non,850ML,800ML,800ML,Autres,Un seul compartiment en Papier carton dur,Oui,5000.0,Peut-être,Non,RAS,Nous espérons que vos assiettes lors de la commercialisation seront à l'image de celles qui nous ont été présentées aujourd'hui.,Aucune,2500-5000,C - Petit client
AG-CAL-001,2024-11-18,Akassa+viande de porc,Oui,10-30,Experience Client,Jetable,Hebdomadairement,Securité alimentaire,Résistance à la chaleur,10000.0,Distribution locale,"Carton, Bioplastiques",Moyen,2 compartiments,Non,500ML,500ML,500ML,500ML,Multi-compartiment en Papier carton dur,Oui,5000.0,Peut-être,Non,RAS,Non,Aucune,2500-5000,B - Client moyen
AG-CAL-001,2024-11-19,Mets Africains - Mets Européens,Oui,10-30,"Experience Client, Marketing Durable, Innovation culinaire",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,15000.0,Commande en ligne,"Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments",Oui,850ML,850ML,1100ML,1100ML,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,7500.0,Oui,Non,RAS,RAS,Aucune,5000-8000,B - Client moyen
AG-CAL-001,2024-11-19,"Riz, Piron + viande, Shawarma...",Oui,10-30,"Experience Client, Marketing Durable, Innovation culinaire",Les deux,Mensuellement,Résistance à la chaleur,Esthétique,7000.0,Distribution locale,"Carton, Bioplastiques",Moyen,"2 compartiments, 3 compartiments",Oui,1100ML,850ML,850ML,850ML,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2500.0,Oui,Non,RAS,RAS,Faire des papiers cartons bien dur avec des couvercles plus solides,<2500,B - Client moyen
AG-CAL-001,2024-11-20,"Riz créole, Piron, Spaghetti, Couscous",Oui,1-10,Experience Client,Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,7000.0,Distribution locale,"Plastique, Bioplastiques",Moyen,2 compartiments,Non,850ML,1100ML,1100ML,1100ML,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,2500.0,Non,RAS,Couvercle bien solide et pratique,Non,Non,<2500,C - Petit client
AG-CAL-001,2024-11-20,"Riz blanc+sauce, Salade",Oui,30-50,"Marketing Durable, Innovation culinaire",Jetable,Hebdomadairement,Résistance à la chaleur,Esthétique,20000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Non,1100ML,1100ML,Autres,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,2750.0,Peut-être,Non,Nous voulons surtout des emballages dont le couvercle ne renversent pas la nourriture,RAS,RAS,2500-5000,B - Client moyen
AG-CAL-001,2024-11-20,"Spaghetti, Piron, Riz gras",Oui,1-10,"Experience Client, Innovation culinaire",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,10000.0,Distribution locale,"Plastique, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,Autres,850ML,Autres,Autres,"Multi-compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,2500.0,Non,Non,RAS,RAS,RAS,<2500,C - Petit client
AG-CAL-001,2024-11-20,"Piron+viande, Télibo+ légumes, Akassa+ Monyo",Oui,1-10,Experience Client,Jetable,Mensuellement,Securité alimentaire,Résistance à la chaleur,8000.0,Commande en ligne,"Plastique, Bioplastiques",Grand,3 compartiments,Non,Autres,1100ML,1100ML,Autres,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,2500.0,Peut-être,Non,RAS,RAS,RAS,<2500,C - Petit client
AG-CAL-001,2024-11-20,"Riz, akassa,  fast food, grillade",Oui,10-30,"Marketing Durable, Innovation culinaire",Jetable,Hebdomadairement,Securité alimentaire,Esthétique,5000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"3 compartiments, 4 compartiments",Oui,Autres,Autres,1100ML,1100ML,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,3500.0,Oui,Non,Résistance au liquide,Veuillez nous contacter à l'avance pour un rappel avant le démarrage des distributions,Non,2500-5000,B - Client moyen
AG-CAL-001,2024-11-20,"Riz, Akassa",Oui,10-30,Experience Client,Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,10000.0,Distribution locale,"Plastique, Bioplastiques",Moyen,2 compartiments,Non,Autres,850ML,1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,3000.0,Non,Non,Non,Non,Non,2500-5000,B - Client moyen
AG-CAL-001,2024-11-20,"Igname pilée, Télibo",Oui,30-50,"Experience Client, Marketing Durable, Innovation culinaire",Jetable,Quotidiennement,Résistance à la chaleur,Securité alimentaire,20000.0,Distribution locale,"Plastique, Aluminium",Grand,2 compartiments,Non,Autres,1100ML,1100ML,Autres,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,2500.0,Peut-être,"Oui, une matière qui ne laisse pas de résidus en bas de la sauce",Résistance au liquide,RAS,Vous pouvez nous écrire sur WhatsApp pour nous faire un rappel et si possible nous renvoyer quelques images,<2500,B - Client moyen
AG-CAL-001,2024-11-20,"Igname pilée, Riz, Télibo",Oui,1-10,Experience Client,Jetable,Mensuellement,Résistance à la chaleur,Esthétique,7000.0,Distribution locale,"Plastique, Bioplastiques",Grand,2 compartiments,Non,Autres,1100ML,Autres,Autres,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,2500.0,Peut-être,Non,RAS,Non,Non,<2500,C - Petit client
AG-CAL-001,2024-11-20,"Igname pilée, Agbéli, Télibo",Oui,10-30,"Experience Client, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,10000.0,Distribution locale,"Plastique, Aluminium",Grand,2 compartiments,Non,850ML,1100ML,1100ML,Autres,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,2500.0,Peut-être,Non,RAS,Non,Non,<2500,B - Client moyen
AG-CAL-001,2024-11-22,"Riz, grillade",Oui,1-10,"Marketing Durable, Innovation culinaire",Jetable,Mensuellement,Résistance à la chaleur,Securité alimentaire,15000.0,Commande en ligne,"Plastique, Aluminium",Grand,"2 compartiments, 3 compartiments",Oui,Autres,1100ML,1100ML,Autres,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,3000.0,Peut-être,Non,RAS,Non,Non,2500-5000,C - Petit client
AG-CAL-001,2024-11-23,"Grillade, Salade, Riz",Oui,1-10,Experience Client,Jetable,Mensuellement,Résistance à la chaleur,Securité alimentaire,10000.0,Distribution locale,"Plastique, Bioplastiques",Grand,2 compartiments,Non,Autres,"850ML, 1100ML",1100ML,Autres,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,2500.0,Peut-être,Non,RAS,Non,Non,<2500,C - Petit client
AG-CAL-001,2024-12-27,Riz au gras,Oui,30-50,Economie de couts,Jetable,Quotidiennement,Résistance à la chaleur,Résistance à la chaleur,10000.0,Commande en ligne,"Carton, Aluminium",Petit,4 compartiments,Oui,500ML,700ML,500ML,500ML,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique",Oui,10000.0,Oui,Non,Rien,Non,Non,8000-15000,B - Client moyen
AG-COT-001,2024-11-18,Divers pâtes noire sauce d'arachide aileron boissons etc..,Oui,1-10,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Résistance à la chaleur,10000.0,Distribution locale,"Carton, Bioplastiques",Moyen,2 compartiments,Non,"500ML, 700ML","500ML, 700ML",500ML,500ML,"Option 1, Option 2, Option 4",Oui,3500.0,Oui,Bien solide,N,N,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-18,Amiwor/aileron/  / pomme de terre frites/ piron rouge/spaghetti / poisson de mer /boissons etc,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Quotidiennement,Résistance à la chaleur,Securité alimentaire,8000.0,Commande en ligne,"Plastique, Bioplastiques",Grand,3 compartiments,Oui,500ML,"700ML, 800ML","800ML, 850ML, 1100ML","850ML, 1100ML","Multi-compartiment en Papier carton dur, Multi-compartiment en plastique",Oui,3750.0,Oui,N,Les Couleurs,N,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-18,Sauce arachides igname pilé poulet braisé aileron etc,Oui,30-50,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,10000.0,Distribution locale,"Plastique, Carton",Grand,"2 compartiments, 3 compartiments",Non,500ML,"700ML, 800ML","850ML, 1100ML",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique",Oui,4000.0,Oui,Néant,N,N,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-18,Viandes de porc braisé piron / boisson,Oui,30-50,Economie de couts,Jetable,Hebdomadairement,Securité alimentaire,Résistance à la chaleur,8000.0,Commande en ligne,"Plastique, Carton",Moyen,2 compartiments,Non,500ML,"500ML, 700ML","800ML, 850ML","1100ML, Autres","Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,4000.0,Peut-être,N,N,N,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-18,Brochettes d'escargot+ablo/ akassa / boisson,Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Jetable,Hebdomadairement,Esthétique,Securité alimentaire,7000.0,Distribution locale,"Plastique, Carton",Moyen,2 compartiments,Oui,"500ML, 700ML","800ML, 850ML","1100ML, Autres",1100ML,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Peut-être,3500.0,Peut-être,N,N,N,Aucune,2500-5000,C - Petit client
AG-COT-001,2024-11-18,Chawama/poulet rôtie / pizzas etc.,Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Jetable,Hebdomadairement,Esthétique,Résistance à la chaleur,14000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML","800ML, 850ML",1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,7000.0,Peut-être,Prix abordable,N,N,Aucune,5000-8000,B - Client moyen
AG-COT-001,2024-11-19,Alloco frites/ poulet /riz+ailerons braisé/jus de fruit/brochettes etc,Oui,1-10,"Economie de couts, Experience Client, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,10500.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments, 3 compartiments",Non,"500ML, 700ML","700ML, 800ML","850ML, 1100ML",1100ML,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,8000.0,Peut-être,N,N,N,Aucune,5000-8000,C - Petit client
AG-COT-001,2024-11-19,Sauces de mouton/ grilles/ agou ailerons fumée,Oui,10-30,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Securité alimentaire,Résistance à la chaleur,7000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,2 compartiments,Oui,"500ML, 700ML","800ML, 850ML",1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,8000.0,Oui,Non,La qualité,Non,Aucune,5000-8000,B - Client moyen
AG-COT-001,2024-11-19,Chawama/frites/poulet braisé/boisson etc,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Securité alimentaire,Esthétique,10000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,2 compartiments,Oui,"500ML, 700ML, 1100ML","800ML, 850ML, 1100ML","800ML, 1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Peut-être,4000.0,Oui,N,N,N,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-19,Chawana/pizza/hamburgers/frites/poisson/boisson/jus de fruits etc,Oui,30-50,"Economie de couts, Marketing Durable",Jetable,Quotidiennement,Résistance à la chaleur,Securité alimentaire,28000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments",Non,"500ML, 700ML, 800ML, 850ML","500ML, 700ML, 800ML, 850ML, 1100ML","850ML, 1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,7000.0,Peut-être,N,N,N,Aucune,5000-8000,B - Client moyen
AG-COT-001,2024-11-19,Thé/swandouch/pâtisserie/frites/crème etc,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Esthétique,8000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments, 3 compartiments, 4 compartiments",Oui,"500ML, 700ML","800ML, 850ML",1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,7000.0,Oui,N,N,Être rapide lors des livraisons en ligne,Aucune,5000-8000,B - Client moyen
AG-COT-001,2024-11-19,Mets africain piron rouge moyo poisson de mère assorkoui etc,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,3500.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Non,"500ML, 700ML, 800ML","700ML, 800ML, 850ML, 1100ML","850ML, 1100ML",1100ML,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,5000.0,Peut-être,N,N,N,Aucune,2500-5000,C - Petit client
AG-COT-001,2024-11-19,Jus de fruit /riz/poulet rôtie/ chawama/ igname pilet etc,Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,7000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML, 800ML, 850ML, 1100ML, Autres","500ML, 700ML, 800ML, 850ML, 1100ML, Autres",1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,5000.0,Oui,N,N,Maintenir le design et la qualité pour toujours,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-19,Boissons/aileron braisé/riz/spaghetti/salades/sauces de mouton,Oui,1-10,"Economie de couts, Experience Client, Marketing Durable",Les deux,Hebdomadairement,Facilité d'ouverture,Securité alimentaire,4000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,500ML,"700ML, 800ML","850ML, 1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,5000.0,Oui,Non,Non,Ça commence quand la vente ?,Aucune,2500-5000,C - Petit client
AG-COT-001,2024-11-19,"Boissons/riz/viande/pate rouge,noir,blanche etc",Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,8000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments",Non,"500ML, 800ML","500ML, 700ML, 850ML, 1100ML","850ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Peut-être,5000.0,Oui,N,N,N,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-19,Telibor/igname pilé/agbeli/riz/tchayo/boisson etc,Oui,30-50,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,14000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML, 800ML, 850ML","850ML, 1100ML, Autres",1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,7000.0,Peut-être,N,N,N,Aucune,5000-8000,B - Client moyen
AG-COT-001,2024-11-19,Frites au poulet/jus d'œufs/jus de fruits/boissons/pâtisserie etc,Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,7000.0,Commande en ligne,"Plastique, Carton, Bioplastiques, Aluminium",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Non,"500ML, 700ML, 800ML, 850ML, 1100ML","800ML, 850ML, 1100ML","1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Peut-être,3500.0,Oui,N,N,Vite livré les jetables,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-19,Chawama/pizza/légumes/pate noir/ aileron/poulet/ rafraîchissement etc..,Oui,1-10,"Economie de couts, Marketing Durable",Jetable,Quotidiennement,Résistance à la chaleur,Securité alimentaire,7000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML, 800ML, 850ML, 1100ML","800ML, 850ML, 1100ML, Autres","1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,8000.0,Peut-être,N,N,N,Aucune,5000-8000,C - Petit client
AG-COT-001,2024-11-19,Burger/pizza/chawama/thé italien/crème/poulet etc..,Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Jetable,Quotidiennement,Résistance à la chaleur,Securité alimentaire,14000.0,Commande en ligne,"Plastique, Carton, Bioplastiques, Aluminium",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Non,"500ML, 800ML, 850ML","500ML, 700ML, 850ML, 1100ML, Autres","1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,3500.0,Oui,N,N,N,Aucune,2500-5000,B - Client moyen
AG-COT-001,2024-11-20,Brochettes de gésier/ablo/pate rouge/ boissons etc,Oui,1-10,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,4000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments",Oui,"500ML, 700ML, 800ML, 850ML","800ML, 850ML, 1100ML","850ML, 1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,5000.0,Peut-être,N,N,N,Aucune,2500-5000,C - Petit client
AG-COT-001,2024-11-20,Tête de mouton/poisson fumé/ légumes/riz/ spaghetti/boisson sobebra ...,Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Les deux,Hebdomadairement,Facilité d'ouverture,Securité alimentaire,8000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML, 800ML, 850ML, 1100ML","700ML, 800ML, 850ML, 1100ML, Autres","1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,10000.0,Peut-être,N,N,N,N,8000-15000,B - Client moyen
